"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CA-009,"Calaveras County",65.8,126,5.4,60.4
CA-011,"Colusa County",68.4,125,5.7,62.7
CA-013,"Contra Costa County",66.3,123,3.9,62.4
CA-015,"Del Norte County",60.0,128,6.6,53.4
CA-017,"El Dorado County",61.0,122,5.0,56
CA-019,"Fresno County",62.0,123,5.4,56.6
CA-021,"Glenn County",67.8,126,6.1,61.7
CA-023,"Humboldt County",60.6,126,5.1,55.5
CA-025,"Imperial County",77.9,113,4.1,73.8
CA-027,"Inyo County",65.5,117,4.5,61
CA-029,"Kern County",68.0,125,5.7,62.3
CA-031,"Kings County",69.7,122,5.2,64.5
CA-033,"Lake County",64.0,125,5.0,59
CA-035,"Lassen County",53.3,124,5.4,47.9
CA-037,"Los Angeles County",67.4,121,5.0,62.4
CA-039,"Madera County",62.0,120,4.6,57.4
CA-041,"Marin County",59.7,94,1.1,58.6
CA-043,"Mariposa County",61.4,116,4.5,56.9
CA-045,"Mendocino County",60.9,120,3.2,57.7
CA-047,"Merced County",67.8,122,4.4,63.4
CA-049,"Modoc County",53.8,126,6.6,47.2
CA-051,"Mono County",48.3,113,3.2,45.1
CA-053,"Monterey County",63.8,120,3.6,60.2
CA-055,"Napa County",65.1,122,3.6,61.5
CA-057,"Nevada County",59.3,122,5.0,54.3
CA-059,"Orange County",69.1,113,3.6,65.5
CA-061,"Placer County",60.6,123,4.9,55.7
CA-063,"Plumas County",53.8,121,4.7,49.1
CA-065,"Riverside County",72.4,111,3.7,68.7
CA-067,"Sacramento County",68.0,123,4.1,63.9
CA-069,"San Benito County",65.5,123,5.1,60.4
CA-071,"San Bernardino County",70.5,114,4.1,66.4
CA-073,"San Diego County",67.0,109,3.2,63.8
CA-075,"San Francisco County",60.1,78,0.6,59.5
CA-077,"San Joaquin County",68.0,124,4.5,63.5
CA-079,"San Luis Obispo County",65.2,124,4.7,60.5
CA-081,"San Mateo County",60.4,99,1.5,58.9
CA-083,"Santa Barbara County",62.7,112,3.2,59.5
CA-085,"Santa Clara County",64.3,122,3.8,60.5
CA-087,"Santa Cruz County",61.2,104,2.0,59.2
CA-089,"Shasta County",62.8,126,6.3,56.5
CA-091,"Sierra County",53.8,122,4.8,49
CA-093,"Siskiyou County",57.5,128,7.6,49.9
CA-095,"Solano County",66.6,122,3.7,62.9
CA-097,"Sonoma County",62.0,110,2.4,59.6
CA-099,"Stanislaus County",67.0,122,3.9,63.1
CA-101,"Sutter County",68.5,123,4.4,64.1
CA-103,"Tehama County",66.3,125,5.9,60.4
CA-105,"Trinity County",59.8,126,6.1,53.7
CA-107,"Tulare County",60.7,123,5.5,55.2
CA-109,"Tuolumne County",56.3,113,4.2,52.1
CA-111,"Ventura County",62.8,118,4.0,58.8
CA-113,"Yolo County",67.4,121,3.8,63.6
CA-115,"Yuba County",67.4,125,5.2,62.2
CO-001,"Adams County",52.1,100,2.0,50.1
CO-003,"Alamosa County",44.4,71,0.2,44.2
CO-005,"Arapahoe County",51.5,90,1.7,49.8
CO-007,"Archuleta County",45.8,76,0.6,45.2
CO-009,"Baca County",56.2,98,1.6,54.6
CO-011,"Bent County",55.4,95,1.5,53.9
CO-013,"Boulder County",46.4,73,0.9,45.5
CO-014,"Broomfield County",52.8,102,2.0,50.8
CO-015,"Chaffee County",39.8,54,-0.2,40
CO-017,"Cheyenne County",54.6,107,2.5,52.1
CO-019,"Clear Creek County",39.1,69,0.6,38.5
CO-021,"Conejos County",42.0,69,0.2,41.8
CO-023,"Costilla County",42.7,50,-0.4,43.1
CO-025,"Crowley County",53.7,99,1.6,52.1
CO-027,"Custer County",42.7,55,0.0,42.7
CO-029,"Delta County",47.4,73,0.5,46.9
CO-031,"Denver County",53.1,103,2.2,50.9
CO-033,"Dolores County",44.5,74,0.6,43.9
CO-035,"Douglas County",48.7,73,0.6,48.1
CO-037,"Eagle County",41.0,64,0.1,40.9
CO-039,"Elbert County",50.1,92,1.6,48.5
CO-041,"El Paso County",49.9,86,1.2,48.7
CO-043,"Fremont County",47.1,69,0.4,46.7
CO-045,"Garfield County",44.8,79,0.8,44
CO-047,"Gilpin County",41.3,68,0.6,40.7
CO-049,"Grand County",39.6,78,0.8,38.8
CO-051,"Gunnison County",40.5,70,0.3,40.2
CO-053,"Hinsdale County",38.1,84,1.2,36.9
CO-055,"Huerfano County",47.3,49,-0.4,47.7
CO-057,"Jackson County",39.1,88,1.4,37.7
CO-059,"Jefferson County",48.2,76,1.0,47.2
CO-061,"Kiowa County",54.9,99,1.8,53.1
CO-063,"Kit Carson County",54.6,110,2.9,51.7
CO-065,"Lake County",36.5,61,0.1,36.4
CO-067,"La Plata County",46.4,77,0.7,45.7
CO-069,"Larimer County",44.8,105,2.1,42.7
CO-071,"Las Animas County",51.6,57,-0.1,51.7
CO-073,"Lincoln County",52.4,99,2.0,50.4
CO-075,"Logan County",51.7,89,1.4,50.3
CO-077,"Mesa County",48.0,77,0.6,47.4
CO-079,"Mineral County",38.8,77,0.7,38.1
CO-081,"Moffat County",46.2,106,2.0,44.2
CO-083,"Montezuma County",49.3,61,0.2,49.1
CO-085,"Montrose County",48.2,80,0.8,47.4
CO-087,"Morgan County",51.5,99,1.9,49.6
CO-089,"Otero County",54.4,80,1.0,53.4
CO-091,"Ouray County",43.1,81,1.2,41.9
CO-093,"Park County",40.3,63,0.2,40.1
CO-095,"Phillips County",53.2,106,2.7,50.5
CO-097,"Pitkin County",39.6,69,0.3,39.3
CO-099,"Prowers County",56.0,94,1.5,54.5
CO-101,"Pueblo County",53.8,92,1.4,52.4
CO-103,"Rio Blanco County",45.9,87,1.3,44.6
CO-105,"Rio Grande County",41.8,74,0.5,41.3
CO-107,"Routt County",42.1,89,1.4,40.7
CO-109,"Saguache County",40.8,49,-0.5,41.3
CO-111,"San Juan County",36.9,88,1.5,35.4
CO-113,"San Miguel County",45.9,82,0.8,45.1
CO-115,"Sedgwick County",53.1,107,2.5,50.6
CO-117,"Summit County",37.4,61,0.2,37.2
CO-119,"Teller County",42.5,75,0.5,42
CO-121,"Washington County",52.0,92,1.6,50.4
CO-123,"Weld County",51.0,103,2.2,48.8
CO-125,"Yuma County",54.1,106,2.7,51.4
CT-001,"Fairfield County",53.4,80,1.1,52.3
CT-003,"Hartford County",52.7,88,1.5,51.2
CT-005,"Litchfield County",50.4,83,1.4,49
CT-007,"Middlesex County",53.2,85,1.3,51.9
CT-009,"New Haven County",52.6,74,0.6,52
CT-011,"New London County",53.9,96,2.2,51.7
CT-013,"Tolland County",51.9,91,1.6,50.3
CT-015,"Windham County",52.4,96,2.0,50.4
DE-001,"Kent County",55.5,45,-0.6,56.1
DE-003,"New Castle County",54.9,47,-0.6,55.5
DE-005,"Sussex County",57.1,57,0.1,57
FL-001,"Alachua County",69.0,33,-1.5,70.5
FL-003,"Baker County",67.8,43,-1.0,68.8
FL-005,"Bay County",67.0,27,-1.9,68.9
FL-007,"Bradford County",68.6,37,-1.3,69.9
FL-009,"Brevard County",74.4,48,-0.3,74.7
FL-011,"Broward County",77.5,76,0.7,76.8
FL-013,"Calhoun County",65.8,20,-2.2,68
FL-015,"Charlotte County",75.0,48,-0.4,75.4
FL-017,"Citrus County",72.1,60,0.0,72.1
FL-019,"Clay County",69.5,44,-0.9,70.4
FL-021,"Collier County",77.3,71,0.4,76.9
FL-023,"Columbia County",67.9,41,-1.1,69
FL-027,"DeSoto County",74.0,50,-0.6,74.6
FL-029,"Dixie County",68.5,29,-1.6,70.1
FL-031,"Duval County",69.2,44,-0.9,70.1
FL-033,"Escambia County",66.7,28,-1.5,68.2
FL-035,"Flagler County",71.6,52,-0.3,71.9
FL-037,"Franklin County",67.2,18,-2.3,69.5
FL-039,"Gadsden County",65.9,23,-2.1,68
FL-041,"Gilchrist County",68.4,34,-1.5,69.9
FL-043,"Glades County",74.4,43,-0.9,75.3
FL-045,"Gulf County",66.6,20,-2.2,68.8
FL-047,"Hamilton County",67.1,38,-1.1,68.2
FL-049,"Hardee County",74.3,63,0.3,74
FL-051,"Hendry County",75.6,48,-0.4,76
FL-053,"Hernando County",73.1,72,0.6,72.5
FL-055,"Highlands County",74.1,52,-0.4,74.5
FL-057,"Hillsborough County",74.4,73,0.6,73.8
FL-059,"Holmes County",64.7,17,-2.6,67.3
FL-061,"Indian River County",74.6,55,0.0,74.6
FL-063,"Jackson County",65.4,17,-2.5,67.9
FL-065,"Jefferson County",66.8,31,-1.7,68.5
FL-067,"Lafayette County",67.9,37,-1.3,69.2
FL-069,"Lake County",72.5,56,-0.1,72.6
FL-071,"Lee County",76.2,56,0.0,76.2
FL-073,"Leon County",66.4,25,-1.9,68.3
FL-075,"Levy County",69.9,42,-1.0,70.9
FL-077,"Liberty County",66.0,20,-2.3,68.3
FL-079,"Madison County",67.0,36,-1.2,68.2
FL-081,"Manatee County",74.1,51,-0.2,74.3
FL-083,"Marion County",70.8,48,-0.6,71.4
FL-085,"Martin County",75.7,53,-0.1,75.8
FL-086,"Miami-Dade County",78.4,88,1.2,77.2
FL-087,"Monroe County",78.8,83,1.0,77.8
FL-089,"Nassau County",68.0,42,-1.1,69.1
FL-091,"Okaloosa County",66.3,32,-1.5,67.8
FL-093,"Okeechobee County",74.4,52,-0.3,74.7
FL-095,"Orange County",73.9,60,0.1,73.8
FL-097,"Osceola County",74.6,63,0.3,74.3
FL-099,"Palm Beach County",76.6,61,0.3,76.3
FL-101,"Pasco County",73.5,73,0.6,72.9
FL-103,"Pinellas County",74.7,53,0.0,74.7
FL-105,"Polk County",74.8,77,0.9,73.9
FL-107,"Putnam County",70.6,48,-0.7,71.3
FL-109,"St. Johns County",71.1,57,-0.3,71.4
FL-111,"St. Lucie County",75.1,52,-0.3,75.4
FL-113,"Santa Rosa County",66.4,27,-1.7,68.1
FL-115,"Sarasota County",74.3,47,-0.6,74.9
FL-117,"Seminole County",73.4,55,-0.2,73.6
FL-119,"Sumter County",72.4,60,0.2,72.2
FL-121,"Suwannee County",67.8,40,-1.1,68.9
FL-123,"Taylor County",68.1,39,-1.2,69.3
FL-125,"Union County",68.3,39,-1.2,69.5
FL-127,"Volusia County",72.3,50,-0.5,72.8
FL-129,"Wakulla County",67.0,21,-2.1,69.1
FL-131,"Walton County",66.0,27,-1.7,67.7
FL-133,"Washington County",65.8,24,-2.0,67.8
GA-001,"Appling County",65.0,32,-1.8,66.8
GA-003,"Atkinson County",64.2,17,-2.7,66.9
GA-005,"Bacon County",65.1,32,-1.8,66.9
GA-007,"Baker County",64.4,17,-2.7,67.1
GA-009,"Baldwin County",61.8,23,-2.1,63.9
GA-011,"Banks County",59.1,28,-1.8,60.9
GA-013,"Barrow County",59.6,34,-1.5,61.1
GA-015,"Bartow County",58.4,19,-2.4,60.8
GA-017,"Ben Hill County",63.1,17,-2.9,66
GA-019,"Berrien County",63.5,14,-3.2,66.7
