"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CA-109,"Tuolumne County",0.16,18,-1.9,2.06
CA-111,"Ventura County",0.08,30,-0.53,0.61
CA-113,"Yolo County",0.0,1,-0.94,0.94
CA-115,"Yuba County",0.0,1,-1.98,1.98
CO-001,"Adams County",0.48,40,-0.51,0.99
CO-003,"Alamosa County",0.82,73,-0.02,0.84
CO-005,"Arapahoe County",0.44,37,-0.58,1.02
CO-007,"Archuleta County",1.82,72,-0.23,2.05
CO-009,"Baca County",0.06,11,-0.94,1
CO-011,"Bent County",0.05,13,-0.81,0.86
CO-013,"Boulder County",0.82,38,-0.61,1.43
CO-014,"Broomfield County",0.78,57,-0.31,1.09
CO-015,"Chaffee County",1.12,65,-0.19,1.31
CO-017,"Cheyenne County",0.02,2,-0.84,0.86
CO-019,"Clear Creek County",1.2,38,-0.65,1.85
CO-021,"Conejos County",1.5,81,0.11,1.39
CO-023,"Costilla County",1.74,91,0.43,1.31
CO-025,"Crowley County",0.18,30,-0.5,0.68
CO-027,"Custer County",0.78,38,-0.68,1.46
CO-029,"Delta County",2.64,111,1.0,1.64
CO-031,"Denver County",0.64,47,-0.45,1.09
CO-033,"Dolores County",2.2,77,0.09,2.11
CO-035,"Douglas County",0.88,58,-0.32,1.2
CO-037,"Eagle County",2.0,85,0.25,1.75
CO-039,"Elbert County",0.31,23,-0.63,0.94
CO-041,"El Paso County",0.31,22,-0.58,0.89
CO-043,"Fremont County",0.38,24,-0.57,0.95
CO-045,"Garfield County",3.06,108,1.13,1.93
CO-047,"Gilpin County",1.07,46,-0.54,1.61
CO-049,"Grand County",1.29,48,-0.37,1.66
CO-051,"Gunnison County",2.0,80,0.21,1.79
CO-053,"Hinsdale County",2.46,64,-0.36,2.82
CO-055,"Huerfano County",1.1,69,-0.05,1.15
CO-057,"Jackson County",1.13,36,-0.63,1.76
CO-059,"Jefferson County",0.77,40,-0.52,1.29
CO-061,"Kiowa County",0.06,12,-0.76,0.82
CO-063,"Kit Carson County",0.04,8,-0.87,0.91
CO-065,"Lake County",1.88,88,0.23,1.65
CO-067,"La Plata County",2.0,78,-0.14,2.14
CO-069,"Larimer County",0.59,19,-0.82,1.41
CO-071,"Las Animas County",0.84,69,-0.17,1.01
